"soloistinstrument","cleaname"
"Soprano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Chorus","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Vocalist","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Vocalist","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Chorus","Franz Liszt"
"Soprano","Franz Liszt"
"Soprano","Franz Liszt"
"Tenor","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Ensemble","Franz Liszt"
"Dancer","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Organ","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Boys Choir","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Tenor","Franz Liszt"
"Dancer","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Contralto","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Ensemble","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Tenor","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Organ","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Dancer","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Bass","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Baritone","Franz Liszt"
"Soprano","Franz Liszt"
"Contralto","Franz Liszt"
"Soprano","Franz Liszt"
"Violin","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Bass","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Ensemble","Franz Liszt"
"Piano","Franz Liszt"
"Organ","Franz Liszt"
"Tenor","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Baritone","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Organ","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Soprano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Cello","Franz Liszt"
"Tenor","Franz Liszt"
"Chorus","Franz Liszt"
"Dancer","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Orchestra","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Violin","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Bass","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Boys Choir","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Organ","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Baritone","Franz Liszt"
"Soprano","Franz Liszt"
"Chorus","Franz Liszt"
"Tenor","Franz Liszt"
"Dancer","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Contralto","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Organ","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Ensemble","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Vocalist","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Organ","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mezzo-Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Womens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Baritone","Franz Liszt"
"Baritone","Franz Liszt"
"Dancer","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Vocalist","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Vocalist","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Orchestra","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Bass","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Tenor","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"None","Franz Liszt"
"Piano","Franz Liszt"
"Chorus","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Soprano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Contralto","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Mens Chorus","Franz Liszt"
"Dancer","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Franz Liszt"
"Dancer","Franz Liszt"
"Piano","Franz Liszt"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"Piano","Henry Charles Litolff"
"None","Jay Livingston"
"Soprano","Lord Andrew Lloyd Webber"
"Chorus","Lord Andrew Lloyd Webber"
"Harpsichord","Pietro Locatelli"
"Flute","Pietro Locatelli"
"Oboe","Pietro Locatelli"
"Bassoon","Pietro Locatelli"
"Piano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Oboe","Charles Martin Loeffler"
"Viola","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Oboe","Charles Martin Loeffler"
"Mezzo-Soprano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Viola","Charles Martin Loeffler"
"Viola","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Oboe","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Soprano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Baritone","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Soprano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Organ","Charles Martin Loeffler"
"Chorus","Charles Martin Loeffler"
"Viola","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Clarinet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Trumpet","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"English Horn","Charles Martin Loeffler"
"Viola","Charles Martin Loeffler"
"Piano","Charles Martin Loeffler"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Tuba","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"French Horn","Frank Loesser"
"Trumpet","Frank Loesser"
"Guitar","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Trombone","Frank Loesser"
"Vocalist","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Trumpet","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Jazz Bass","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Soprano","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Brass Quintet","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Singer","Frank Loesser"
"Vocalist","Frederick Loewe"
"Baritone","Frederick Loewe"
"Baritone","Frederick Loewe"
"Soprano","Frederick Loewe"
"Tenor","Frederick Loewe"
"Baritone","Frederick Loewe"
"Soprano","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Baritone","Frederick Loewe"
"Chorus","Frederick Loewe"
"Chorus","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Chorus","Frederick Loewe"
"Chorus","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Chorus","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Baritone","Frederick Loewe"
"Chorus","Frederick Loewe"
"Tenor","Frederick Loewe"
"Soprano","Frederick Loewe"
"Tenor","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Chorus","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Tenor","Frederick Loewe"
"Tenor","Frederick Loewe"
"Mezzo-Soprano","Frederick Loewe"
"Baritone","Frederick Loewe"
"Soprano","Frederick Loewe"
"Baritone","Frederick Loewe"
"Baritone","Frederick Loewe"
"Baritone","Frederick Loewe"
"Tenor","Frederick Loewe"
"Chorus","Frederick Loewe"
"Tenor","Frederick Loewe"
"Chorus","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Baritone","Frederick Loewe"
"Tenor","Frederick Loewe"
"Soprano","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Chorus","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Baritone","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Soprano","Frederick Loewe"
"Tenor","Frederick Loewe"
"Soprano","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Soprano","Frederick Loewe"
"Soprano","Frederick Loewe"
"Baritone","Frederick Loewe"
"Tenor","Frederick Loewe"
"Chorus","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Chorus","Frederick Loewe"
"Chorus","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Chorus","Frederick Loewe"
"Baritone","Frederick Loewe"
"Tenor","Frederick Loewe"
"Soprano","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Soprano","Frederick Loewe"
"Orchestra","Frederick Loewe"
"Baritone","Frederick Loewe"
"Vocalist","Frederick Loewe"
"Soprano","Frederick Loewe"
"Tenor","Frederick Loewe"
"Soprano","Frederick Loewe"
"Vocalist","Johann Carl Loewe"
"Piano","Johann Carl Loewe"
"Baritone","Johann Carl Loewe"
"Tenor","Herman Lohr"
"Piano","Herman Lohr"
"Piano","Herman Lohr"
"Soprano","Herman Lohr"
"Children's Chorus","Harvey Worthington Loomis"
"Violin","Nikolai Lopatnikoff"
"Bass","Carl Lorenz"
"Bass","Carl Lorenz"
"Bass","Albert Lortzing"
"Vocalist","Albert Lortzing"
"Chorus","Antonio Lotti"
"Vocalist","Antonio Lotti"
"Chorus","Low"
"Chorus","Leo Low"
"Chorus","Leo Low"
"Chorus","Leo Low"
"Piano","Leo Low"
"Vocalist","Leo Low"
"Piano","Ernst Lubeck"
"Violin","Otto Luening"
"Contrabass","Otto Luening"
"Violin","Otto Luening"
"French Horn","Otto Luening"
"French Horn","Otto Luening"
"Bassoon","Otto Luening"
"Percussion","Otto Luening"
"Violin","Otto Luening"
"Trumpet","Otto Luening"
"Clarinet","Otto Luening"
"Oboe","Otto Luening"
"Violin","Otto Luening"
"Cello","Otto Luening"
"Viola","Otto Luening"
"Flute","Otto Luening"
"Baritone","Jean Baptiste Lully"
"Soprano","Jean Baptiste Lully"
"Vocalist","Xiuying Luo"
"Chorus","Peter Christian Lutkin"
"Piano","Witold Lutoslawski"
"Violin","Witold Lutoslawski"
"Chorus","Witold Lutoslawski"
"Violin","Witold Lutoslawski"
"Piano","Witold Lutoslawski"
"Violin","Witold Lutoslawski"
"Cello","Witold Lutoslawski"
"Piano","Witold Lutoslawski"
"Piano","Witold Lutoslawski"
"Cello","Witold Lutoslawski"
"Violin","Witold Lutoslawski"
"Viola","Witold Lutoslawski"
"Soprano","Luigi Luzzi"
"Chorus","Luigi Luzzi"
"Sing-Along","Alexey Lvov"
"Chorus","Alexey Lvov"
"Sing-Along","Alexey Lvov"
"Chorus","Lvovsky"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Piano","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Piccolo","Anatoli Lyadov"
"Soprano","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Piano","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Dancer","Anatoli Lyadov"
"Piano","Sergius Mikhailovich Lyapunov"
"Piano","Sergius Mikhailovich Lyapunov"
"Narrator","Lorin Maazel"
"Narrator","Lorin Maazel"
"Violin","Lorin Maazel"
"Cello","Lorin Maazel"
"Flute","Lorin Maazel"
"Children's Chorus","Lorin Maazel"
"Narrator","Lorin Maazel"
"Narrator","Lorin Maazel"
"Flute","Lorin Maazel"
"Trumpet","Lorin Maazel"
"Violin","Lorin Maazel"
"Cello","Lorin Maazel"
"Viola","Lorin Maazel"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Piano","Edward MacDowell"
"Narrator","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Soprano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Dancer","Edward A. MacDowell"
"Dancer","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Dancer","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Piano","Edward A. MacDowell"
"Dancer","Edward A. MacDowell"
"Chorus","Edward A. MacDowell"
"Trumpet","Teo Macero"
"Clarinet","Teo Macero"
"Clarinet","Teo Macero"
"Tuba","Teo Macero"
"Contrabass","Teo Macero"
"Percussion","Teo Macero"
"Contrabass","Teo Macero"
"Tuba","Teo Macero"
"Trumpet","Teo Macero"
"Percussion","Teo Macero"
"Bass","Robert MacGimsey"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Singer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Guitar","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Piano","Roger Machado"
"Dancer","Roger Machado"
"Guitar","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Guitar","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Guitar","Roger Machado"
"Dancer","Roger Machado"
"Singer","Roger Machado"
"Guitar","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Guitar","Roger Machado"
"Vocalist","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
"Dancer","Roger Machado"
