"soloistinstrument","cleaname"
"Vocalist","Paul Ambrose"
"Flute","Emanuel Amiran"
"Alto","Emanuel Amiran"
"Bassoon","David Amram"
"French Horn","David Amram"
"Clarinet","Gilbert Amy"
"Ensemble","Gilbert Amy"
"Cello","Gilbert Amy"
"Mezzo-Soprano","Gilbert Amy"
"Vocalist","Trey Anastasio"
"Guitar","Trey Anastasio"
"Vocalist","Trey Anastasio"
"Vocalist","Trey Anastasio"
"Guitar","Trey Anastasio"
"Vocalist","Trey Anastasio"
"Vocalist","Trey Anastasio"
"Vocalist","Don and Hart Trey Anastasio"
"Flute","Joachim Andersen"
"Piano","Joachim Andersen"
"Flute","Joachim Andersen"
"French Horn","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Trombone","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Contrabass","Leroy Anderson"
"Flute","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
"Bass Trombone","Leroy Anderson"
"Tuba","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Tuba","Leroy Anderson"
"Vocalist","Leroy Anderson"
"Percussion","Leroy Anderson"
"Trombone","Leroy Anderson"
"Ensemble","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
"Singer","Leroy Anderson"
"French Horn","Leroy Anderson"
"Tuba","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Flute","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Tuba","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trombone","Leroy Anderson"
"Tuba","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Trombone","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trombone","Leroy Anderson"
"Ensemble","Leroy Anderson"
"Bass Trombone","Leroy Anderson"
"Trombone","Leroy Anderson"
"French Horn","Leroy Anderson"
"Tuba","Leroy Anderson"
"Trumpet","Leroy Anderson"
"None","Leroy Anderson"
"Percussion","Leroy Anderson"
"Tuba","Leroy Anderson"
"Brass Quintet","Leroy Anderson"
"Tuba","Leroy Anderson"
"Trombone","Leroy Anderson"
"French Horn","Leroy Anderson"
"Vocalist","Leroy Anderson"
"Percussion","Leroy Anderson"
"Ensemble","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
"French Horn","Leroy Anderson"
"Trumpet","Leroy Anderson"
"Trumpet","Leroy Anderson"
"French Horn","Leroy Anderson"
